genes	Bio	RA	SB505124	SU54	Conectivity_ATAC_vs_RNA
BL00002	1	0	0	0	1
BL00015	0	0	0	1	1
BL00085	1	0	0	0	1
BL00137	0	0	0	1	1
BL00282	1	0	0	0	1
BL00336	1	0	0	0	1
BL00339	1	0	0	0	1
BL00370	1	0	0	0	1
BL00525	1	0	0	0	1
BL00541	1	0	0	0	1
BL00594	0	0	1	0	1
BL00705	1	0	0	0	1
BL00739	1	0	0	0	1
BL00743	1	1	0	0	2
BL00875	1	0	0	0	1
BL00881	0	0	1	0	1
BL00889	1	0	0	0	1
BL00923	0	0	0	1	1
BL00928	1	0	0	0	1
BL00957	1	0	0	0	1
BL00977	1	0	0	0	1
BL01014	0	0	1	0	1
BL01204	1	0	0	0	1
BL01350	0	0	1	0	1
BL01368	1	0	0	0	1
BL01409	0	1	0	0	1
BL01525	1	0	0	0	1
BL01526	1	0	0	0	1
BL01539	0	0	1	0	1
BL01547	0	0	1	0	1
BL01913	1	0	0	0	1
BL01926	1	0	0	0	1
BL01930	1	0	0	0	1
BL01992	1	0	0	0	1
BL02116	0	0	1	0	1
BL02150	0	0	1	0	1
BL02175	1	0	0	0	1
BL02248	0	1	0	0	1
BL02254	0	0	1	0	1
BL02348	1	0	0	0	1
BL02468	1	0	0	0	1
BL02474	1	0	0	0	1
BL02597	1	0	0	0	1
BL02619	1	0	0	0	1
BL02684	1	0	0	0	1
BL02698	0	0	1	0	1
BL02752	1	0	0	0	1
BL02754	1	0	0	0	1
BL02795	0	1	0	0	1
BL02873	0	0	1	0	1
BL03012	1	0	0	0	1
BL03016	0	0	1	0	1
BL03017	0	0	1	0	1
BL03091	1	0	0	0	1
BL03103	0	0	1	0	1
BL03154	0	1	0	1	2
BL03187	1	0	0	0	1
BL03195	0	0	1	0	1
BL03199	0	1	0	0	1
BL03247	1	0	0	0	1
BL03270	1	0	0	0	1
BL03309	0	0	1	0	1
BL03320	1	0	0	0	1
BL03344	1	0	0	0	1
BL03582	0	0	1	1	2
BL03595	0	0	1	0	1
BL03598	1	0	0	0	1
BL03714	1	0	0	0	1
BL03744	0	1	0	0	1
BL03761	1	0	0	0	1
BL03778	1	0	0	0	1
BL04071	1	0	0	0	1
BL04267	1	0	0	0	1
BL04317	0	0	1	0	1
BL04338	1	0	0	0	1
BL04400	1	0	0	0	1
BL04421	1	0	0	0	1
BL04438	1	0	0	0	1
BL04527	1	0	0	0	1
BL04781	1	0	0	0	1
BL04832	1	0	1	0	2
BL04861	0	0	1	0	1
BL04891	0	0	1	0	1
BL04899	1	0	0	0	1
BL04905	0	0	1	0	1
BL04947	0	0	1	0	1
BL05031	1	0	1	1	3
BL05046	0	0	0	1	1
BL05047	1	0	0	0	1
BL05151	0	0	0	1	1
BL05175	1	0	0	0	1
BL05254	1	0	0	0	1
BL05328	0	1	0	0	1
BL05347	1	0	0	0	1
BL05473	1	0	0	0	1
BL05510	1	0	0	0	1
BL05740	1	0	0	0	1
BL05777	1	0	0	0	1
BL05800	0	0	0	1	1
BL05805	0	0	1	0	1
BL05807	1	0	0	0	1
BL05872	1	0	0	0	1
BL05977	1	0	0	0	1
BL06004	1	0	0	0	1
BL06027	0	0	1	0	1
BL06050	1	0	0	0	1
BL06108	1	0	0	0	1
BL06206	1	0	0	0	1
BL06375	1	0	0	0	1
BL06533	0	0	1	1	2
BL06570	1	0	0	0	1
BL06601	1	0	0	0	1
BL06614	1	0	0	0	1
BL06776	0	0	1	0	1
BL06794	1	0	0	0	1
BL06879	0	1	0	0	1
BL07172	1	0	0	0	1
BL07386	1	0	0	0	1
BL07427	0	0	1	0	1
BL07443	0	0	1	0	1
BL07471	0	0	0	1	1
BL07589	1	0	0	0	1
BL07639	0	0	1	0	1
BL07777	1	0	0	0	1
BL07830	1	0	0	0	1
BL07875	1	0	0	0	1
BL07921	1	0	0	0	1
BL07943	0	1	0	1	2
BL07974	0	0	1	0	1
BL08145	1	0	0	0	1
BL08155	1	0	0	0	1
BL08173	1	0	0	0	1
BL08174	1	0	0	0	1
BL08181	1	0	0	0	1
BL08267	1	0	0	0	1
BL08388	1	0	0	0	1
BL08419	1	0	0	0	1
BL08510	1	0	0	0	1
BL08538	1	0	0	0	1
BL08550	1	0	0	0	1
BL08554	1	0	0	0	1
BL08575	1	0	0	0	1
BL08665	1	0	0	0	1
BL08669	0	0	1	0	1
BL08819	0	0	1	0	1
BL08884	1	0	0	0	1
BL08896	0	1	0	0	1
BL08956	1	0	0	0	1
BL09091	1	0	0	0	1
BL09144	1	0	0	0	1
BL09217	1	0	0	0	1
BL09276	1	0	0	0	1
BL09313	0	0	1	0	1
BL09317	1	0	0	0	1
BL09326	1	0	0	0	1
BL09449	1	0	0	0	1
BL09665	1	0	0	0	1
BL09705	0	0	1	0	1
BL09763	1	0	0	0	1
BL09772	1	0	0	0	1
BL09891	1	0	0	0	1
BL10054	1	0	0	0	1
BL10122	1	0	0	0	1
BL10176	1	0	0	0	1
BL10187	1	0	0	0	1
BL10188	1	0	0	0	1
BL10207	1	0	0	0	1
BL10247	1	0	0	0	1
BL10266	0	0	1	0	1
BL10318	1	0	0	0	1
BL10330	1	0	0	0	1
BL10400	1	0	0	0	1
BL10401	0	1	0	0	1
BL10487	1	0	0	0	1
BL10590	1	0	0	0	1
BL10628	0	1	0	0	1
BL10670	1	0	0	1	2
BL10689	1	0	0	0	1
BL10721	1	0	0	0	1
BL10753	0	1	0	0	1
BL10777	1	0	0	0	1
BL10786	1	0	0	0	1
BL10991	1	0	0	0	1
BL11058	0	1	0	0	1
BL11149	0	0	1	0	1
BL11229	1	0	0	0	1
BL11240	0	0	1	0	1
BL11242	1	0	0	0	1
BL11294	1	0	0	0	1
BL11333	0	0	1	0	1
BL11372	1	0	0	0	1
BL11460	1	0	0	0	1
BL11578	0	0	0	1	1
BL11591	1	0	0	0	1
BL11674	1	0	0	0	1
BL11745	0	0	0	1	1
BL11859	1	0	0	0	1
BL11983	1	0	0	0	1
BL12028	1	0	0	0	1
BL12065	1	0	0	0	1
BL12253	0	0	1	0	1
BL12351	1	0	0	0	1
BL12417	1	0	0	0	1
BL12425	1	0	0	0	1
BL12434	1	0	0	0	1
BL12527	0	0	1	0	1
BL12610	1	0	0	0	1
BL12643	0	0	1	0	1
BL12668	1	0	0	0	1
BL12750	1	0	0	0	1
BL12777	0	1	0	0	1
BL12801	1	0	1	0	2
BL12869	0	1	0	1	2
BL12992	1	0	0	0	1
BL13013	1	0	0	0	1
BL13081	1	0	0	0	1
BL13088	0	0	1	0	1
BL13113	1	0	0	0	1
BL13134	1	0	0	0	1
BL13229	0	0	1	0	1
BL13273	1	0	0	0	1
BL13305	1	0	0	0	1
BL13309	1	0	0	0	1
BL13341	1	0	0	0	1
BL13403	1	0	0	0	1
BL13423	1	0	0	0	1
BL13483	0	1	0	0	1
BL13493	1	0	0	0	1
BL13520	1	0	0	0	1
BL13532	1	0	0	0	1
BL13588	1	0	0	0	1
BL13608	1	0	0	0	1
BL13629	1	0	0	0	1
BL13732	1	0	1	0	2
BL13764	1	0	0	0	1
BL13771	1	0	0	0	1
BL13835	0	0	0	1	1
BL13842	1	0	0	0	1
BL13917	1	0	0	0	1
BL13922	1	0	0	0	1
BL13946	0	0	1	0	1
BL13961	0	0	1	0	1
BL14060	0	0	1	0	1
BL14063	1	0	0	0	1
BL14099	0	0	1	0	1
BL14198	1	0	0	0	1
BL14216	1	0	0	0	1
BL14246	1	0	0	0	1
BL14318	1	0	0	0	1
BL14407	1	0	0	0	1
BL14546	0	1	0	0	1
BL14607	1	0	0	0	1
BL14721	0	1	0	0	1
BL14753	1	0	0	0	1
BL15111	1	0	0	0	1
BL15130	1	0	0	0	1
BL15396	1	0	0	0	1
BL15549	1	0	0	0	1
BL15679	0	0	1	0	1
BL15791	0	1	0	0	1
BL15803	1	0	0	0	1
BL15805	1	0	0	0	1
BL15809	1	0	0	0	1
BL15834	1	0	0	0	1
BL15874	1	0	0	0	1
BL15929	1	0	0	0	1
BL16056	1	0	0	0	1
BL16085	0	0	0	1	1
BL16096	0	0	0	1	1
BL16114	0	0	0	1	1
BL16221	1	0	0	0	1
BL16274	0	0	0	1	1
BL16333	1	0	0	0	1
BL16360	0	0	0	1	1
BL16369	1	0	0	0	1
BL16432	0	0	1	0	1
BL16476	1	0	1	0	2
BL16497	1	0	0	0	1
BL16569	1	0	0	0	1
BL16653	1	0	0	0	1
BL16687	0	0	1	0	1
BL16716	1	0	0	0	1
BL16759	0	0	1	0	1
BL16767	0	1	0	0	1
BL16914	0	0	0	1	1
BL17033	1	0	0	0	1
BL17260	1	0	0	0	1
BL17328	0	1	0	0	1
BL17335	1	0	0	0	1
BL17422	1	0	0	0	1
BL17425	1	0	0	0	1
BL17559	1	0	0	0	1
BL17723	1	0	0	0	1
BL17798	1	0	0	0	1
BL17821	1	0	0	0	1
BL17896	1	0	0	1	2
BL17902	1	0	0	0	1
BL17924	1	0	0	0	1
BL17982	0	0	1	0	1
BL17986	1	0	0	0	1
BL18009	1	0	0	0	1
BL18020	1	0	0	0	1
BL18033	1	0	0	0	1
BL18053	1	0	0	0	1
BL18089	0	0	1	0	1
BL18173	1	0	0	0	1
BL18235	1	0	0	0	1
BL18336	1	0	0	0	1
BL18406	0	0	0	1	1
BL18478	1	0	0	0	1
BL18519	0	1	0	0	1
BL18526	1	0	0	0	1
BL18575	1	0	0	0	1
BL18638	0	0	1	0	1
BL18701	0	0	0	1	1
BL18790	1	0	0	0	1
BL18821	1	0	0	0	1
BL18829	1	0	0	0	1
BL19087	0	0	1	0	1
BL19175	1	0	0	0	1
BL19184	0	0	1	0	1
BL19210	0	1	0	0	1
BL19289	1	0	0	0	1
BL19317	1	0	0	0	1
BL19385	1	0	0	0	1
BL19425	0	1	0	0	1
BL19566	0	0	1	0	1
BL19609	0	1	0	0	1
BL19671	0	0	1	0	1
BL19810	1	0	0	0	1
BL19831	1	0	0	0	1
BL19844	1	0	0	0	1
BL19863	0	0	0	1	1
BL20072	1	0	0	0	1
BL20088	1	0	0	0	1
BL20114	0	0	1	0	1
BL20123	1	0	0	0	1
BL20127	1	0	0	0	1
BL20207	1	0	0	0	1
BL20215	1	0	0	0	1
BL20276	1	0	0	0	1
BL20348	1	0	0	0	1
BL20385	1	0	0	0	1
BL20663	1	0	0	0	1
BL20800	0	0	1	0	1
BL20910	1	0	0	0	1
BL20923	0	0	1	1	2
BL21013	1	0	0	0	1
BL21026	1	0	0	0	1
BL21080	1	0	0	0	1
BL21133	0	0	1	0	1
BL21170	0	0	1	0	1
BL21171	1	0	0	0	1
BL21189	1	0	0	0	1
BL21259	1	0	0	0	1
BL21328	1	0	0	0	1
BL21335	0	1	0	0	1
BL21340	1	0	0	0	1
BL21407	1	0	0	0	1
BL21466	1	0	0	0	1
BL21559	1	0	0	0	1
BL21592	0	0	1	0	1
BL21654	1	0	0	0	1
BL21886	0	0	1	0	1
BL21909	1	0	0	0	1
BL21926	1	0	0	0	1
BL21932	0	0	1	0	1
BL21967	0	0	1	0	1
BL22030	0	0	0	1	1
BL22062	0	1	0	0	1
BL22082	0	1	0	0	1
BL22085	1	0	0	0	1
BL22113	0	0	1	0	1
BL22189	1	0	0	0	1
BL22209	0	0	0	1	1
BL22304	1	0	0	0	1
BL22312	0	0	1	0	1
BL22341	1	0	0	0	1
BL22397	0	0	1	0	1
BL22524	1	0	0	0	1
BL22551	1	0	0	0	1
BL22589	1	0	0	0	1
BL22658	1	0	0	0	1
BL22721	1	0	0	0	1
BL22730	0	1	0	0	1
BL22752	1	0	0	0	1
BL22753	1	0	0	0	1
BL22793	1	0	0	0	1
BL22966	0	0	0	1	1
BL22987	1	0	0	0	1
BL23052	1	0	0	0	1
BL23063	0	0	0	1	1
BL23148	1	0	0	0	1
