genes	Bio	RA	SB5050124	SU5402	Conectivity_ATAC_vs_RNA
ENSDARG00000000002	1	0	0	1	2
ENSDARG00000000175	0	1	1	1	3
ENSDARG00000000861	0	0	1	0	1
ENSDARG00000000906	0	0	1	1	2
ENSDARG00000001014	1	0	1	0	2
ENSDARG00000001431	0	0	1	1	2
ENSDARG00000001447	1	0	0	0	1
ENSDARG00000001498	0	1	1	0	2
ENSDARG00000001549	0	0	1	1	2
ENSDARG00000001634	0	0	1	0	1
ENSDARG00000001676	0	0	1	1	2
ENSDARG00000001733	0	0	1	0	1
ENSDARG00000001767	0	0	1	0	1
ENSDARG00000001785	1	0	0	0	1
ENSDARG00000001870	0	0	1	0	1
ENSDARG00000001930	1	0	0	0	1
ENSDARG00000001950	1	0	1	0	2
ENSDARG00000001968	0	0	1	0	1
ENSDARG00000001976	0	0	1	0	1
ENSDARG00000002013	0	0	1	0	1
ENSDARG00000002037	1	0	0	1	2
ENSDARG00000002172	0	0	1	0	1
ENSDARG00000002241	0	0	0	1	1
ENSDARG00000002299	1	0	1	0	2
ENSDARG00000002336	1	0	0	1	2
ENSDARG00000002411	0	0	1	0	1
ENSDARG00000002509	1	0	0	0	1
ENSDARG00000002510	0	0	1	1	2
ENSDARG00000002644	0	0	1	0	1
ENSDARG00000002656	0	0	1	0	1
ENSDARG00000002880	1	0	1	0	2
ENSDARG00000002916	0	0	1	0	1
ENSDARG00000002933	0	0	0	1	1
ENSDARG00000003046	0	0	1	0	1
ENSDARG00000003098	0	0	1	0	1
ENSDARG00000003169	0	0	1	1	2
ENSDARG00000003203	1	0	0	0	1
ENSDARG00000003206	1	0	1	0	2
ENSDARG00000003207	0	0	1	0	1
ENSDARG00000003216	1	0	1	0	2
ENSDARG00000003293	1	1	0	0	2
ENSDARG00000003307	1	0	0	0	1
ENSDARG00000003308	1	0	0	0	1
ENSDARG00000003313	0	0	0	1	1
ENSDARG00000003344	0	0	0	1	1
ENSDARG00000003382	0	0	1	0	1
ENSDARG00000003411	0	0	1	0	1
ENSDARG00000003469	1	0	1	0	2
ENSDARG00000003706	0	0	1	0	1
ENSDARG00000003754	0	0	1	1	2
ENSDARG00000003820	0	0	1	0	1
ENSDARG00000003865	1	0	0	0	1
ENSDARG00000003872	0	0	1	0	1
ENSDARG00000003910	1	0	0	0	1
ENSDARG00000003963	0	0	1	0	1
ENSDARG00000003971	1	0	1	1	3
ENSDARG00000004015	0	0	0	1	1
ENSDARG00000004060	0	0	1	0	1
ENSDARG00000004176	1	0	1	1	3
ENSDARG00000004177	1	0	1	0	2
ENSDARG00000004246	0	0	0	1	1
ENSDARG00000004328	0	0	1	0	1
ENSDARG00000004363	0	0	1	0	1
ENSDARG00000004372	0	0	1	0	1
ENSDARG00000004377	0	0	1	0	1
ENSDARG00000004402	0	0	1	0	1
ENSDARG00000004451	0	0	1	0	1
ENSDARG00000004588	0	0	1	0	1
ENSDARG00000004635	0	0	0	1	1
ENSDARG00000004643	0	0	1	0	1
ENSDARG00000004658	1	0	1	1	3
ENSDARG00000004735	1	0	1	0	2
ENSDARG00000004782	0	0	0	1	1
ENSDARG00000004906	1	0	0	0	1
ENSDARG00000004954	0	0	1	0	1
ENSDARG00000004979	1	0	0	0	1
ENSDARG00000005004	1	0	0	0	1
ENSDARG00000005026	1	1	0	0	2
ENSDARG00000005057	1	0	0	0	1
ENSDARG00000005104	0	0	1	0	1
ENSDARG00000005128	0	0	1	0	1
ENSDARG00000005154	0	0	1	0	1
ENSDARG00000005216	0	0	1	0	1
ENSDARG00000005284	0	0	0	1	1
ENSDARG00000005320	1	0	0	0	1
ENSDARG00000005356	1	0	1	0	2
ENSDARG00000005364	0	0	1	0	1
ENSDARG00000005394	0	0	1	1	2
ENSDARG00000005425	0	0	1	1	2
ENSDARG00000005456	1	0	0	0	1
ENSDARG00000005462	1	0	0	0	1
ENSDARG00000005482	0	0	0	1	1
ENSDARG00000005541	0	0	0	1	1
ENSDARG00000005544	0	0	1	0	1
ENSDARG00000005559	1	0	0	0	1
ENSDARG00000005673	0	0	1	0	1
ENSDARG00000005699	0	0	1	0	1
ENSDARG00000005713	0	0	0	1	1
ENSDARG00000005739	0	0	1	0	1
ENSDARG00000005762	0	0	1	1	2
ENSDARG00000005774	0	0	1	0	1
ENSDARG00000005786	0	0	1	1	2
ENSDARG00000005834	0	0	1	0	1
ENSDARG00000005861	0	0	0	1	1
ENSDARG00000005891	0	0	0	1	1
ENSDARG00000006079	1	1	1	1	4
ENSDARG00000006110	0	0	1	1	2
ENSDARG00000006299	1	0	0	0	1
ENSDARG00000006332	0	0	0	1	1
ENSDARG00000006353	0	0	1	0	1
ENSDARG00000006397	0	0	1	0	1
ENSDARG00000006427	1	0	0	0	1
ENSDARG00000006491	1	0	1	0	2
ENSDARG00000006508	0	0	0	1	1
ENSDARG00000006526	0	0	1	1	2
ENSDARG00000006602	1	0	1	0	2
ENSDARG00000006640	0	0	1	0	1
ENSDARG00000006672	0	0	1	0	1
ENSDARG00000006754	1	0	1	0	2
ENSDARG00000006760	0	0	1	0	1
ENSDARG00000006786	0	0	1	0	1
ENSDARG00000006816	0	0	0	1	1
ENSDARG00000006832	1	0	1	1	3
ENSDARG00000006877	0	0	1	0	1
ENSDARG00000006892	1	0	0	0	1
ENSDARG00000006896	0	0	1	0	1
ENSDARG00000006911	1	0	0	0	1
ENSDARG00000006983	0	0	1	0	1
ENSDARG00000007034	0	0	1	1	2
ENSDARG00000007097	0	1	1	0	2
ENSDARG00000007149	0	0	1	0	1
ENSDARG00000007179	0	0	1	0	1
ENSDARG00000007184	0	1	0	1	2
ENSDARG00000007219	1	0	0	0	1
ENSDARG00000007220	1	0	0	0	1
ENSDARG00000007277	0	0	0	1	1
ENSDARG00000007289	1	0	1	1	3
ENSDARG00000007329	0	0	0	1	1
ENSDARG00000007349	0	0	1	0	1
ENSDARG00000007377	0	0	1	0	1
ENSDARG00000007398	1	0	1	1	3
ENSDARG00000007430	0	0	0	1	1
ENSDARG00000007523	0	0	1	0	1
ENSDARG00000007560	0	0	1	0	1
ENSDARG00000007582	1	0	0	0	1
ENSDARG00000007711	0	0	1	0	1
ENSDARG00000007823	1	0	0	0	1
ENSDARG00000007885	0	0	0	1	1
ENSDARG00000007891	0	0	1	0	1
ENSDARG00000007912	0	1	0	0	1
ENSDARG00000007982	0	0	1	0	1
ENSDARG00000008030	0	0	1	0	1
ENSDARG00000008140	0	0	0	1	1
ENSDARG00000008170	0	0	1	1	2
ENSDARG00000008174	1	1	0	1	3
ENSDARG00000008278	0	0	1	0	1
ENSDARG00000008305	0	1	0	0	1
ENSDARG00000008372	0	0	1	1	2
ENSDARG00000008413	0	0	1	0	1
ENSDARG00000008487	0	0	1	0	1
ENSDARG00000008503	1	0	0	0	1
ENSDARG00000008541	0	0	0	1	1
ENSDARG00000008575	0	0	1	0	1
ENSDARG00000008637	0	0	1	0	1
ENSDARG00000008767	1	0	0	0	1
ENSDARG00000008852	1	0	1	0	2
ENSDARG00000008861	0	0	0	1	1
ENSDARG00000009014	0	0	1	0	1
ENSDARG00000009018	0	0	1	0	1
