genes	BIO	RA	SB505	SU5402	Conectivity
ENSDARG00000000002	1	0	0	1	2
ENSDARG00000000019	1	0	0	0	1
ENSDARG00000000068	1	0	0	0	1
ENSDARG00000000069	1	0	0	0	1
ENSDARG00000000175	1	1	1	1	4
ENSDARG00000000189	1	0	0	0	1
ENSDARG00000000229	1	0	1	0	2
ENSDARG00000000241	0	0	0	1	1
ENSDARG00000000370	0	1	0	1	2
ENSDARG00000000380	0	0	1	0	1
ENSDARG00000000472	1	0	0	0	1
ENSDARG00000000516	1	0	1	1	3
ENSDARG00000000551	1	0	0	0	1
ENSDARG00000000606	0	0	0	1	1
ENSDARG00000000631	1	0	1	1	3
ENSDARG00000000666	1	1	1	1	4
ENSDARG00000000767	1	0	1	1	3
ENSDARG00000000796	1	0	0	1	2
ENSDARG00000000804	1	0	1	1	3
ENSDARG00000000853	0	0	1	0	1
ENSDARG00000000861	1	0	1	1	3
ENSDARG00000000906	0	0	1	1	2
ENSDARG00000001014	1	0	1	0	2
ENSDARG00000001210	1	0	0	0	1
ENSDARG00000001234	0	0	1	1	2
ENSDARG00000001244	1	0	1	1	3
ENSDARG00000001259	1	1	1	0	3
ENSDARG00000001431	1	0	1	1	3
ENSDARG00000001442	0	0	0	1	1
ENSDARG00000001447	1	0	0	1	2
ENSDARG00000001452	1	1	0	0	2
ENSDARG00000001498	0	1	1	1	3
ENSDARG00000001549	0	0	1	1	2
ENSDARG00000001557	1	0	0	0	1
ENSDARG00000001558	1	0	0	1	2
ENSDARG00000001634	1	1	1	1	4
ENSDARG00000001676	1	0	1	1	3
ENSDARG00000001686	0	0	0	1	1
ENSDARG00000001721	1	1	0	0	2
ENSDARG00000001733	1	0	1	0	2
ENSDARG00000001767	0	0	1	0	1
ENSDARG00000001785	1	0	0	0	1
ENSDARG00000001788	1	0	1	1	3
ENSDARG00000001804	0	0	1	0	1
ENSDARG00000001835	1	1	0	1	3
ENSDARG00000001857	1	0	1	0	2
ENSDARG00000001859	0	1	0	1	2
ENSDARG00000001870	1	0	1	0	2
ENSDARG00000001880	1	0	0	1	2
ENSDARG00000001888	1	0	1	0	2
ENSDARG00000001889	1	0	1	0	2
ENSDARG00000001891	1	0	0	1	2
ENSDARG00000001898	1	0	1	1	3
ENSDARG00000001929	1	0	0	0	1
ENSDARG00000001930	1	0	1	1	3
ENSDARG00000001950	1	0	1	0	2
ENSDARG00000001953	1	0	0	1	2
ENSDARG00000001968	0	0	1	0	1
ENSDARG00000001969	1	0	0	0	1
ENSDARG00000001976	1	1	1	1	4
ENSDARG00000001993	1	0	0	0	1
ENSDARG00000002013	0	0	1	0	1
ENSDARG00000002037	1	0	0	1	2
ENSDARG00000002060	0	0	0	1	1
ENSDARG00000002077	1	0	0	0	1
ENSDARG00000002084	0	1	0	0	1
ENSDARG00000002165	1	0	1	1	3
ENSDARG00000002172	0	0	1	0	1
ENSDARG00000002196	0	0	1	0	1
ENSDARG00000002210	1	0	1	1	3
ENSDARG00000002215	1	0	0	1	2
ENSDARG00000002216	0	0	0	1	1
ENSDARG00000002217	1	0	0	1	2
ENSDARG00000002230	1	0	0	0	1
ENSDARG00000002241	1	1	1	1	4
ENSDARG00000002259	1	0	1	0	2
ENSDARG00000002293	1	0	0	1	2
ENSDARG00000002298	1	0	1	0	2
ENSDARG00000002299	1	0	1	0	2
ENSDARG00000002333	1	0	0	0	1
ENSDARG00000002336	1	0	0	1	2
ENSDARG00000002344	1	0	0	0	1
ENSDARG00000002347	0	0	0	1	1
ENSDARG00000002353	1	0	0	0	1
ENSDARG00000002355	0	0	1	0	1
ENSDARG00000002362	1	0	0	0	1
ENSDARG00000002377	1	0	1	1	3
ENSDARG00000002405	0	0	0	1	1
ENSDARG00000002406	0	0	1	0	1
ENSDARG00000002411	0	0	1	1	2
ENSDARG00000002463	1	0	1	1	3
ENSDARG00000002479	1	0	0	1	2
ENSDARG00000002483	0	1	1	0	2
ENSDARG00000002506	1	0	0	0	1
ENSDARG00000002509	1	0	0	0	1
ENSDARG00000002510	0	0	1	1	2
ENSDARG00000002533	0	0	1	1	2
ENSDARG00000002549	1	0	0	1	2
ENSDARG00000002597	0	0	0	1	1
ENSDARG00000002601	0	1	0	0	1
ENSDARG00000002632	1	0	0	1	2
ENSDARG00000002644	0	0	1	0	1
ENSDARG00000002656	0	1	1	1	3
ENSDARG00000002663	0	0	1	1	2
ENSDARG00000002682	1	0	0	0	1
ENSDARG00000002685	1	0	0	0	1
ENSDARG00000002701	0	0	0	1	1
ENSDARG00000002710	0	0	0	1	1
ENSDARG00000002732	1	0	1	0	2
ENSDARG00000002748	1	0	0	0	1
ENSDARG00000002758	0	0	0	1	1
ENSDARG00000002790	0	0	0	1	1
ENSDARG00000002791	1	0	0	0	1
ENSDARG00000002795	1	1	0	1	3
ENSDARG00000002826	1	0	0	0	1
ENSDARG00000002830	0	0	1	1	2
ENSDARG00000002831	1	0	0	0	1
ENSDARG00000002840	0	1	0	0	1
ENSDARG00000002847	1	0	0	0	1
ENSDARG00000002877	0	0	1	0	1
ENSDARG00000002880	1	0	1	1	3
ENSDARG00000002916	1	0	1	0	2
ENSDARG00000002933	0	0	0	1	1
ENSDARG00000002956	0	0	0	1	1
ENSDARG00000002967	0	0	1	0	1
ENSDARG00000002986	1	0	0	0	1
ENSDARG00000002991	1	0	0	1	2
ENSDARG00000003008	1	0	0	1	2
ENSDARG00000003021	1	0	0	0	1
ENSDARG00000003022	1	0	0	0	1
ENSDARG00000003032	1	0	0	0	1
ENSDARG00000003035	1	0	0	0	1
ENSDARG00000003041	1	0	1	1	3
ENSDARG00000003046	0	0	1	0	1
ENSDARG00000003069	0	0	1	1	2
ENSDARG00000003077	1	0	0	1	2
ENSDARG00000003081	0	0	0	1	1
ENSDARG00000003084	1	0	1	0	2
ENSDARG00000003085	1	0	0	0	1
ENSDARG00000003098	1	0	1	1	3
ENSDARG00000003113	0	0	1	0	1
ENSDARG00000003144	1	0	0	0	1
ENSDARG00000003165	1	1	1	0	3
ENSDARG00000003167	0	0	0	1	1
ENSDARG00000003169	1	0	1	1	3
ENSDARG00000003197	1	0	0	0	1
ENSDARG00000003200	1	0	0	0	1
ENSDARG00000003203	1	0	0	1	2
ENSDARG00000003206	1	0	1	0	2
ENSDARG00000003207	1	0	1	1	3
