genes	Bio	RA	SB505	SU54	Conectivity
BL00002	1	1	0	0	2
BL00020	1	0	0	1	2
BL00085	1	1	0	0	2
BL00143	1	0	0	0	1
BL00217	1	0	0	0	1
BL00240	1	0	0	1	2
BL00308	1	0	0	0	1
BL00336	1	0	1	0	2
BL00339	1	0	0	0	1
BL00370	1	0	0	0	1
BL00390	1	1	0	0	2
BL00430	1	1	0	0	2
BL00444	1	0	0	0	1
BL00462	1	0	0	0	1
BL00466	1	0	0	0	1
BL00484	1	0	0	0	1
BL00541	1	0	1	0	2
BL00542	1	0	0	0	1
BL00580	1	0	0	0	1
BL00711	1	1	0	0	2
BL00739	1	1	0	0	2
BL00741	1	1	1	1	4
BL00873	1	0	0	0	1
BL00875	1	0	1	0	2
BL00890	1	1	0	0	2
BL00916	1	1	0	0	2
BL00977	1	1	0	1	3
BL01083	1	1	1	0	3
BL01164	1	0	0	0	1
BL01368	1	1	0	0	2
BL01446	1	0	0	0	1
BL01469	1	1	0	0	2
BL01526	1	0	0	0	1
BL01539	1	1	1	1	4
BL01554	1	0	0	0	1
BL01633	1	0	0	0	1
BL01765	1	0	0	0	1
BL01820	1	0	0	0	1
BL01836	1	0	0	0	1
BL01864	1	1	0	0	2
BL01886	1	0	1	1	3
BL01892	1	0	0	0	1
BL01913	1	0	0	0	1
BL01930	1	0	0	0	1
BL02099	1	1	0	0	2
BL02109	1	0	0	0	1
BL02299	1	1	0	0	2
BL02348	1	0	1	0	2
BL02366	1	0	0	1	2
BL02402	1	0	0	0	1
BL02404	1	0	0	0	1
BL02419	1	0	0	0	1
BL02461	1	1	0	0	2
BL02474	1	0	0	0	1
BL02597	1	1	0	0	2
BL02754	1	1	0	0	2
BL02786	1	0	0	0	1
BL02792	1	1	0	0	2
BL02873	1	0	1	1	3
BL02917	1	1	0	0	2
BL02938	1	0	0	0	1
BL03012	1	0	1	1	3
BL03039	1	0	0	0	1
BL03090	1	0	0	0	1
BL03125	1	1	1	1	4
BL03134	1	0	0	0	1
BL03176	1	0	1	0	2
BL03187	1	0	0	0	1
