genes	BIO	RA	SB505	SU5402	Connectivity	Cols	Rows	Species
ENSDARG00000000002	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000019	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000068	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000069	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000175	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000189	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000229	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000241	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000370	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000380	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000472	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000516	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000551	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000606	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000631	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000666	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000767	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000796	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000804	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000853	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000861	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000000906	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001014	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001210	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001234	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001244	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001259	1	1	1	0	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001431	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001442	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001447	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001452	1	1	0	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001498	0	1	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001549	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001557	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001558	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001634	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001676	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001686	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001721	1	1	0	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001733	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001767	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001785	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001788	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001804	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001835	1	1	0	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001857	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001859	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001870	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001880	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000001888	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
