tss_id	ohn_fam	mm_cat	dre_cat	Connectivity
BL09207	ohn_fam_BL09207	1-1	1	0
ENSDARG00000038505	ohn_fam_BL09207	1-1	1	0
BL74412	ohn_fam_BL74412	1-1	1	0
ENSDARG00000019861	ohn_fam_BL74412	1-1	1	0
BL09202	ohn_fam_BL09202	1-1	1	0
ENSDARG00000056557	ohn_fam_BL09202	1-1	1	0
BL09208	ohn_fam_BL09208	1-1	1	0
ENSDARG00000046127	ohn_fam_BL09208	1-1	1	0
BL12125	ohn_fam_BL12125	1-1	1	0
ENSDARG00000030957	ohn_fam_BL12125	1-1	1	0
BL12124	ohn_fam_BL12124	1-1	1	0
ENSDARG00000059553	ohn_fam_BL12124	1-1	1	0
BL96592	ohn_fam_BL96592	1-1	1	2
ENSDARG00000090618	ohn_fam_BL96592	1-1	1	0
BL96597	ohn_fam_BL96597	1-1	1	0
ENSDARG00000087633	ohn_fam_BL96597	1-1	1	0
BL22054	ohn_fam_BL22054	1-3	5	0
ENSDARG00000073695	ohn_fam_BL22054	1-3	5	3
ENSDARG00000090361	ohn_fam_BL22054	1-3	5	0
ENSDARG00000020994	ohn_fam_BL22054	1-3	5	0
ENSDARG00000098345	ohn_fam_BL22054	1-3	5	0
ENSDARG00000024017	ohn_fam_BL22054	1-3	5	0
BL12122	ohn_fam_BL12122	1-1	1	0
ENSDARG00000009743	ohn_fam_BL12122	1-1	1	0
BL12129	ohn_fam_BL12129	1-1	1	0
ENSDARG00000028321	ohn_fam_BL12129	1-1	1	0
BL12128	ohn_fam_BL12128	1-1	1	0
ENSDARG00000039270	ohn_fam_BL12128	1-1	1	0
BL13654	ohn_fam_BL13654	1-1	1	0
ENSDARG00000074892	ohn_fam_BL13654	1-1	1	3
BL13655	ohn_fam_BL13655	1-1	1	0
ENSDARG00000075768	ohn_fam_BL13655	1-1	1	0
BL13650	ohn_fam_BL13650	1-1	1	1
ENSDARG00000016864	ohn_fam_BL13650	1-1	1	1
BL14608	ohn_fam_BL14608	1-2	2	0
ENSDARG00000053459	ohn_fam_BL14608	1-2	2	0
ENSDARG00000015966	ohn_fam_BL14608	1-2	2	0
BL10128	ohn_fam_BL10128	1-1	1	0
ENSDARG00000018049	ohn_fam_BL10128	1-1	1	0
BL20607	ohn_fam_BL20607	1-1	2	0
ENSDARG00000062199	ohn_fam_BL20607	1-1	2	1
ENSDARG00000062020	ohn_fam_BL20607	1-1	2	0
BL21291	ohn_fam_BL21291	1-1	1	0
ENSDARG00000055357	ohn_fam_BL21291	1-1	1	0
BL08460	ohn_fam_BL08460	1-2	2	0
ENSDARG00000077237	ohn_fam_BL08460	1-2	2	2
ENSDARG00000103691	ohn_fam_BL08460	1-2	2	0
BL08264	ohn_fam_BL08264	1-2	1	1
ENSDARG00000009046	ohn_fam_BL08264	1-2	1	0
BL14588	ohn_fam_BL14588	1-1	2	0
ENSDARG00000103207	ohn_fam_BL14588	1-1	2	0
ENSDARG00000090170	ohn_fam_BL14588	1-1	2	1
BL00375	ohn_fam_BL00375	1-1	1	0
ENSDARG00000043728	ohn_fam_BL00375	1-1	1	3
BL22801	ohn_fam_BL22801	1-1	2	0
ENSDARG00000088202	ohn_fam_BL22801	1-1	2	1
ENSDARG00000098959	ohn_fam_BL22801	1-1	2	0
BL03532	ohn_fam_BL03532	1-1	2	0
