Bla	Dre	mm_cat	dre_cat
BL09207	ENSDARG00000038505	1-1	1
BL74412	ENSDARG00000019861	1-1	1
BL09202	ENSDARG00000056557	1-1	1
BL09208	ENSDARG00000046127	1-1	1
BL12125	ENSDARG00000030957	1-1	1
BL12124	ENSDARG00000059553	1-1	1
BL96592	ENSDARG00000090618	1-1	1
BL96597	ENSDARG00000087633	1-1	1
BL22054	ENSDARG00000073695	1-3	5
BL22054	ENSDARG00000090361	1-3	5
BL22054	ENSDARG00000020994	1-3	5
BL22054	ENSDARG00000098345	1-3	5
BL22054	ENSDARG00000024017	1-3	5
BL12122	ENSDARG00000009743	1-1	1
BL12129	ENSDARG00000028321	1-1	1
BL12128	ENSDARG00000039270	1-1	1
BL13654	ENSDARG00000074892	1-1	1
BL13655	ENSDARG00000075768	1-1	1
BL13650	ENSDARG00000016864	1-1	1
BL14608	ENSDARG00000053459	1-2	2
BL14608	ENSDARG00000015966	1-2	2
BL10128	ENSDARG00000018049	1-1	1
BL20607	ENSDARG00000062199	1-1	2
BL20607	ENSDARG00000062020	1-1	2
BL21291	ENSDARG00000055357	1-1	1
BL08460	ENSDARG00000077237	1-2	2
BL08460	ENSDARG00000103691	1-2	2
BL08264	ENSDARG00000009046	1-2	1
BL14588	ENSDARG00000103207	1-1	2
BL14588	ENSDARG00000090170	1-1	2
BL00375	ENSDARG00000043728	1-1	1
BL22801	ENSDARG00000088202	1-1	2
BL22801	ENSDARG00000098959	1-1	2
BL03532	ENSDARG00000057484	1-1	2
BL03532	ENSDARG00000103893	1-1	2
BL13853	ENSDARG00000022415	1-2	2
BL13853	ENSDARG00000086411	1-2	2
BL08039	ENSDARG00000041361	1-1	1
BL17486	ENSDARG00000098809	1-2	3
BL17486	ENSDARG00000012866	1-2	3
BL17486	ENSDARG00000014137	1-2	3
BL13387	ENSDARG00000056934	1-2	2
BL13387	ENSDARG00000061365	1-2	2
BL14942	ENSDARG00000100236	1-1	1
BL09992	ENSDARG00000077955	1-4	4
BL09992	ENSDARG00000068582	1-4	4
BL09992	ENSDARG00000062055	1-4	4
BL09992	ENSDARG00000079306	1-4	4
BL10446	ENSDARG00000101411	1-1	2
BL10446	ENSDARG00000099151	1-1	2
BL02869	ENSDARG00000016699	1-1	2
BL02869	ENSDARG00000031875	1-1	2
BL08850	ENSDARG00000008188	1-1	1
BL07074	ENSDARG00000035023	1-1	1
BL07310	ENSDARG00000087110	1-1	1
BL23372	ENSDARG00000059768	1-3	2
BL23372	ENSDARG00000027079	1-3	2
BL04266	ENSDARG00000099880	1-4	4
BL04266	ENSDARG00000056666	1-4	4
BL04266	ENSDARG00000099374	1-4	4
BL04266	ENSDARG00000019516	1-4	4
BL01005	ENSDARG00000054137	1-3	1
BL11577	ENSDARG00000059939	1-2	3
BL11577	ENSDARG00000053091	1-2	3
BL11577	ENSDARG00000031761	1-2	3
BL82031	ENSDARG00000039824	1-1	1
BL20556	ENSDARG00000068103	1-1	1
BL02520	ENSDARG00000077013	1-2	1
BL02375	ENSDARG00000103771	1-1	1
BL07032	ENSDARG00000101431	1-1	2
BL07032	ENSDARG00000089010	1-1	2
BL35883	ENSDARG00000103046	1-1	1
BL16542	ENSDARG00000090489	1-1	1
BL23888	ENSDARG00000078473	1-2	2
BL23888	ENSDARG00000045853	1-2	2
BL14307	ENSDARG00000032651	1-2	1
BL06310	ENSDARG00000077721	1-1	1
BL23934	ENSDARG00000029370	1-1	2
BL23934	ENSDARG00000057790	1-1	2
BL96563	ENSDARG00000086302	1-1	1
BL02686	ENSDARG00000012140	1-2	2
BL02686	ENSDARG00000055124	1-2	2
BL10371	ENSDARG00000027933	1-3	2
BL10371	ENSDARG00000025226	1-3	2
BL68987	ENSDARG00000016724	1-1	1
BL11268	ENSDARG00000103002	1-3	4
BL11268	ENSDARG00000043864	1-3	4
BL11268	ENSDARG00000019881	1-3	4
BL11268	ENSDARG00000059485	1-3	4
BL04520	ENSDARG00000079385	1-2	2
BL04520	ENSDARG00000052427	1-2	2
BL17215	ENSDARG00000033901	1-2	4
BL17215	ENSDARG00000032614	1-2	4
BL17215	ENSDARG00000102015	1-2	4
BL17215	ENSDARG00000010710	1-2	4
BL09152	ENSDARG00000045776	1-2	2
BL09152	ENSDARG00000070922	1-2	2
BL18204	ENSDARG00000104710	1-2	2
BL18204	ENSDARG00000019530	1-2	2
BL24958	ENSDARG00000043328	1-1	2
BL24958	ENSDARG00000070431	1-1	2
BL06491	ENSDARG00000079388	1-1	1
BL18986	ENSDARG00000079352	1-1	2
BL18986	ENSDARG00000056924	1-1	2
BL16094	ENSDARG00000070108	1-1	1
BL03225	ENSDARG00000020465	1-3	4
BL03225	ENSDARG00000070019	1-3	4
BL03225	ENSDARG00000037968	1-3	4
BL03225	ENSDARG00000020258	1-3	4
BL95491	ENSDARG00000063252	1-1	1
BL16011	ENSDARG00000089930	1-1	1
BL02104	ENSDARG00000058232	1-3	2
BL02104	ENSDARG00000056427	1-3	2
BL01087	ENSDARG00000102483	1-1	1
BL13911	ENSDARG00000029911	1-1	1
BL03365	ENSDARG00000027600	1-3	3
BL03365	ENSDARG00000101777	1-3	3
BL03365	ENSDARG00000056322	1-3	3
BL18811	ENSDARG00000067859	1-1	1
BL15257	ENSDARG00000020527	1-1	1
BL00911	ENSDARG00000099768	1-1	1
BL17794	ENSDARG00000059246	1-3	4
BL17794	ENSDARG00000003429	1-3	4
BL17794	ENSDARG00000007960	1-3	4
BL17794	ENSDARG00000099865	1-3	4
BL11166	ENSDARG00000063219	1-2	3
BL11166	ENSDARG00000088318	1-2	3
BL11166	ENSDARG00000060065	1-2	3
BL15101	ENSDARG00000002710	1-1	1
BL22363	ENSDARG00000000489	1-2	2
BL22363	ENSDARG00000069297	1-2	2
BL12066	ENSDARG00000016177	1-1	1
BL14672	ENSDARG00000003382	1-1	1
BL10836	ENSDARG00000005092	1-1	1
BL03538	ENSDARG00000091555	1-1	1
BL18544	ENSDARG00000015506	1-1	3
BL18544	ENSDARG00000018757	1-1	3
BL18544	ENSDARG00000062106	1-1	3
BL03904	ENSDARG00000098523	1-2	4
BL03904	ENSDARG00000056181	1-2	4
BL03904	ENSDARG00000007220	1-2	4
BL03904	ENSDARG00000017466	1-2	4
BL00200	ENSDARG00000033450	1-2	1
BL03121	ENSDARG00000069855	1-1	1
BL10249	ENSDARG00000039910	1-1	1
BL00061	ENSDARG00000060298	1-2	1
BL03342	ENSDARG00000077126	1-1	1
BL13066	ENSDARG00000057248	1-1	1
BL23760	ENSDARG00000076571	1-1	1
BL15849	ENSDARG00000068480	1-4	5
BL15849	ENSDARG00000104435	1-4	5
BL15849	ENSDARG00000098802	1-4	5
BL15849	ENSDARG00000104701	1-4	5
BL15849	ENSDARG00000060771	1-4	5
BL00620	ENSDARG00000040110	1-2	3
BL00620	ENSDARG00000071009	1-2	3
BL00620	ENSDARG00000044491	1-2	3
BL11974	ENSDARG00000015552	1-4	6
BL11974	ENSDARG00000032221	1-4	6
BL11974	ENSDARG00000027172	1-4	6
BL11974	ENSDARG00000023916	1-4	6
BL11974	ENSDARG00000019304	1-4	6
BL11974	ENSDARG00000058243	1-4	6
BL22855	ENSDARG00000062978	1-1	1
BL03651	ENSDARG00000078947	1-1	1
BL00257	ENSDARG00000090690	1-2	2
BL00257	ENSDARG00000062797	1-2	2
BL04295	ENSDARG00000102334	1-2	2
BL04295	ENSDARG00000070470	1-2	2
BL06575	ENSDARG00000068640	1-1	1
BL15041	ENSDARG00000011602	1-3	1
BL18039	ENSDARG00000026842	1-1	1
BL07042	ENSDARG00000056490	1-3	5
BL07042	ENSDARG00000056483	1-3	5
BL07042	ENSDARG00000058237	1-3	5
BL07042	ENSDARG00000057395	1-3	5
BL07042	ENSDARG00000099727	1-3	5
BL13346	ENSDARG00000063385	1-1	1
BL20413	ENSDARG00000079315	1-3	3
BL20413	ENSDARG00000060766	1-3	3
BL20413	ENSDARG00000088590	1-3	3
BL08770	ENSDARG00000039123	1-2	1
BL08138	ENSDARG00000077093	1-2	3
BL08138	ENSDARG00000018854	1-2	3
BL08138	ENSDARG00000100056	1-2	3
BL09865	ENSDARG00000040442	1-3	3
BL09865	ENSDARG00000076919	1-3	3
BL09865	ENSDARG00000075158	1-3	3
BL17358	ENSDARG00000076920	1-1	1
BL08058	ENSDARG00000034146	1-1	1
BL03371	ENSDARG00000012409	1-1	1
BL13048	ENSDARG00000089863	1-1	1
BL22553	ENSDARG00000090788	1-2	1
BL18549	ENSDARG00000053101	1-1	1
BL09643	ENSDARG00000023578	1-2	2
BL09643	ENSDARG00000069331	1-2	2
BL15759	ENSDARG00000062017	1-2	2
BL15759	ENSDARG00000059432	1-2	2
BL22542	ENSDARG00000008209	1-3	3
BL22542	ENSDARG00000102879	1-3	3
BL22542	ENSDARG00000074030	1-3	3
BL04312	ENSDARG00000037919	1-1	1
BL17451	ENSDARG00000018618	1-2	1
BL11899	ENSDARG00000007413	1-1	1
BL01292	ENSDARG00000014081	1-2	2
BL01292	ENSDARG00000055099	1-2	2
BL19957	ENSDARG00000077987	1-1	1
BL00718	ENSDARG00000043643	1-2	1
BL14910	ENSDARG00000006395	1-1	1
BL20322	ENSDARG00000062511	1-1	1
BL12401	ENSDARG00000061848	1-2	2
BL12401	ENSDARG00000036558	1-2	2
BL24475	ENSDARG00000011863	1-1	1
BL24339	ENSDARG00000018574	1-1	1
BL01250	ENSDARG00000014891	1-3	4
BL01250	ENSDARG00000026784	1-3	4
BL01250	ENSDARG00000005645	1-3	4
BL01250	ENSDARG00000042646	1-3	4
BL17295	ENSDARG00000051857	1-2	2
BL17295	ENSDARG00000002002	1-2	2
BL05435	ENSDARG00000058127	1-2	3
BL05435	ENSDARG00000015990	1-2	3
BL05435	ENSDARG00000012519	1-2	3
BL00812	ENSDARG00000088984	1-1	1
BL15756	ENSDARG00000075100	1-2	2
BL15756	ENSDARG00000102855	1-2	2
BL11987	ENSDARG00000076416	1-4	4
BL11987	ENSDARG00000076371	1-4	4
BL11987	ENSDARG00000102180	1-4	4
BL11987	ENSDARG00000079900	1-4	4
BL23938	ENSDARG00000078864	1-2	2
BL23938	ENSDARG00000003751	1-2	2
BL24905	ENSDARG00000004537	1-2	3
BL24905	ENSDARG00000062962	1-2	3
BL24905	ENSDARG00000060697	1-2	3
BL06613	ENSDARG00000001857	1-4	2
BL06613	ENSDARG00000052242	1-4	2
BL13342	ENSDARG00000037429	1-3	3
BL13342	ENSDARG00000028053	1-3	3
BL13342	ENSDARG00000028071	1-3	3
BL21463	ENSDARG00000043134	1-1	1
BL10308	ENSDARG00000009023	1-3	4
BL10308	ENSDARG00000086326	1-3	4
BL10308	ENSDARG00000026028	1-3	4
BL10308	ENSDARG00000036826	1-3	4
BL23026	ENSDARG00000016630	1-1	2
BL23026	ENSDARG00000103004	1-1	2
BL23627	ENSDARG00000021979	1-2	3
BL23627	ENSDARG00000075608	1-2	3
BL23627	ENSDARG00000020395	1-2	3
BL24793	ENSDARG00000098867	1-2	2
BL24793	ENSDARG00000104251	1-2	2
